congress_id,link,long_title,short_title,authors,date_filed,subjects
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3078-16th-congress-republic,AN ACT PROMOTING ORGAN DONATION AWARENESS,ORGAN DONATION,Miriam Defensor Santiago,"January 13, 2016",ORGAN DONATION
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3143-16th-congress-republic,AN ACT PROVIDING FOR UNIFORM STANDARDS OF LIABILITY FOR HARM ARISING OUT OF GENERAL AVIATION ACCIDENTS,GENERAL AVIATION ACCIDENT LIABILITY STANDARDS ACT,Miriam Defensor Santiago,"January 26, 2016",AVIATION
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3216-16th-congress-republic,AN ACT PROMOTING AND SUPPORTING BREASTFEEDING AS AN ESSENTIAL COMPONENT OF RESPONSIBLE PARENTHOOD,FAMILY SUPPORT FOR BREASTFEEDING ACT,Miriam Defensor Santiago,"February 2, 2016",BREASTFEEDING
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3112-16th-congress-republic,AN ACT PROTECTING PRIVATE PROPERTY RIGHTS BY REQUIRING GOVERNMENT AGENCIES TO PREPARE PRIVATE PROPERTY TAKING IMPACT ANALYSIS,PRIVATE PROPERTY RIGHTS ACT,Miriam Defensor Santiago,"January 25, 2016",PRIVATE PROPERTY; GOVERNMENT AGENCIES
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3179-16th-congress-republic,AN ACT REQUIRING THE USE OF ENGINE FIRE SUPPRESSION SYSTEM ON BUSES,ENGINE FIRE SUPPRESSION SYSTEM ON BUSES,Miriam Defensor Santiago,"January 28, 2016",BUS; ENGINE FIRE SUPPRESSION SYSTEM
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3092-16th-congress-republic,"AN ACT PROMOTING THE CREATION OF GREEN JOBS, GRANTING INCENTIVES AND APPROPRIATING FUNDS THEREFOR",PHILIPPINE GREEN JOBS ACT OF 2016,"ESTRADA, JINGGOY E.","January 21, 2016",GREEN COLLAR JOBS
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3204-16th-congress-republic,AN ACT REQUIRING BASIC EDUCATION STUDENTS TO UNDERGO AGE-APPROPRIATE BASIC LIFE SUPPORT TRAINING,BASIC LIFE SUPPORT TRAINING IN SCHOOLS ACT,"ANGARA, SONNY","January 2, 2016",BASIC EDUCATION PROGRAM; STUDENTS
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3049-16th-congress-republic,AN ACT REGULATING THE NOISE EMISSION OF MOTORCYCLES,REGULATING THE NOISE EMISSION OF MOTORCYCLES,Miriam Defensor Santiago,"November 1, 2016",MOTORCYCLE; NOISE POLLUTION
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3057-16th-congress-republic,AN ACT REQUIRING CONGRESSIONAL APPROVAL IN THE RECLASSIFICATION AND DISPOSITION OF REAL PROPERTIES OF THE NATIONAL GOVERNMENT,RECLASSIFICATION AND DISPOSITION OF REAL PROPERTIES OF THE NATIONAL GOVERNMENT,Miriam Defensor Santiago,"November 1, 2016",REAL PROPERTY; GOVERNMENT PROPERTY
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3122-16th-congress-republic,AN ACT CREATING A DATABASE OF PRODUCTS CONTAINING PROBABLE CARCINOGENS,PROBABLE CARCINOGEN INFORMATION ACT,Miriam Defensor Santiago,"January 25, 2016",CARCINOGENS
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3190-16th-congress-republic,AN ACT AUTHORIZING THE SECRETARY OF THE DEPARTMENT OF LABOR AND EMPLOYMENT TO AWARD GRANTS TO LOCAL GOVERMENT UNITS TO CARRY OUT EMPLOYMENT TRAINING PROGRAMS,NEW JOBS FOR PHILIPPINES ACT,Miriam Defensor Santiago,"January 2, 2016",DEPARTMENT OF LABOR AND EMPLOYMENT (DOLE); LOCAL GOVERNMENT UNITS (LGUs); JOBS
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3201-16th-congress-republic,AN ACT PROVIDING FOR A COUNTRYSIDE SPORTS DEVELOPMENT PROGRAM,COUNTRYSIDE SPORTS DEVELOPMENT ACT,Miriam Defensor Santiago,"January 2, 2016",SPORTS DEVELOPMENT PROGRAM
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3102-16th-congress-republic,AN ACT BANNING PUBLIC OFFICERS AND EMPLOYEES FROM SMOKING WITHIN THE WORK PREMISES DURING OFFICIAL WORK HOURS AND PROVIDING PENALTIES THEREFOR,PUBLIC OFFICERS AND EMPLOYEES SMOKING BAN ACT,Miriam Defensor Santiago,"January 25, 2016",SMOKING; ANTI-SMOKING
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3159-16th-congress-republic,"AN ACT ESTABLISHING COMPREHENSIVE ALCOHOL, TOBACCO AND OTHER DRUG ABUSE PROGRAMS IN EVERY SCHOOL",STAY CLEAN AND SOBER ACT,Miriam Defensor Santiago,"January 28, 2016",ALCOHOL ABUSE; DRUG ADDICT; TOBACCO ABUSE
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3169-16th-congress-republic,AN ACT IMPROVING THE MENTAL AND BEHAVIORAL HEALTH SERVICES IN COLLEGE AND UNIVERSITY CAMPUSES,MENTAL HEALTH ON CAMPUS IMPROVEMENT ACT,Miriam Defensor Santiago,"January 28, 2016",MENTAL HEALTH
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3068-16th-congress-republic,AN ACT REQUIRING THE DEPARTMENT OF EDUCATION TO DEVELOP A SAFETY INTERNET EDUCATION PROGRAM AND INCLUDE THIS IN THE CURRICULUM OF ALL ELEMENTARY AND SECONDARY SCHOOLS,SAFETY INTERNET EDUCATION ACT,Miriam Defensor Santiago,"November 1, 2016","INTERNET SAFETY; DEPARTMENT OF EDUCATION, CULTURE AND SPORTS (DEPED); CURRICULUM; Secondary Education"
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3133-16th-congress-republic,AN ACT COMMISSIONING A RESEARCH ON CLIMATE CHANGE DRINKING WATER ADAPTATION,CLIMATE CHANGE DRINKING WATER ADAPTATION,Miriam Defensor Santiago,"January 26, 2016",DRINKING WATER; CLIMATE CHANGE; WATER RESOURCES MANAGEMENT
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3079-16th-congress-republic,AN ACT ESTABLISHING A COMPREHENSIVE TRAINING PROGRAM FOR TEACHERS OF CHILDREN WITH HANDICAP,TEACHERS OF CHILDREN WITH HANDICAPS ENHANCEMENT ACT,Miriam Defensor Santiago,"January 13, 2016",TEACHERS; HANDICAPPED/DISABLED/DIFFERENTLY ABLED
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3144-16th-congress-republic,AN ACT PROHIBITING A PERSON FROM KNOWINGLY PERMITTING A MOTOR VEHICLE OWNED OR CONTROLLED BY HIM TO BE DRIVEN BY A PERSON WHO IS NOT AUTHORIZED TO DRIVE UNDER THE LAW,MOTOR VEHICLE SAFETY ACT,Miriam Defensor Santiago,"January 26, 2016",Motor Vehicles
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3217-16th-congress-republic,AN ACT PROVIDING FOR A CONSUMER PROTECTION OFFICE IN EVERY PROVINCE AND CITY,CONSUMER PROTECTION ACT,Miriam Defensor Santiago,"February 2, 2016",CONSUMER PROTECTION
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3113-16th-congress-republic,"AN ACT REQUIRING HEALTH PLANS TO PROVIDE COVERAGE FOR A MINIMUM HOSPITAL STAY FOR MASTECTOMIES, LUMPECTOMIES, AND LYMPH NODE DISSECTION FOR THE TREATMENT OF BREAST CANCER AND COVERAGE FOR SECONDARY CONSULTATIONS",BREAST CANCER PATIENT PROTECTION ACT,Miriam Defensor Santiago,"January 25, 2016",BREAST CARE; CANCER; health care
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3180-16th-congress-republic,AN ACT PROHIBITING THE DISPOSAL OF ELECTRONIC EQUIPMENT AT SOLID WASTE MANAGEMENT FACILITIES,PROHIBITING THE DISPOSAL OF ELECTRONIC EQUIPMENT,Miriam Defensor Santiago,"January 28, 2016",ELECTRONIC EQUIPMENT; SOLID WASTE; WASTE MANAGEMENT
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3191-16th-congress-republic,AN ACT CREATING A CRIMINAL JUSTICE REFORM COMMISSION CHARGED WITH THE INVESTIGATION AND PREVENTION OF WRONGFUL CONVICTIONS,PREVENTING WRONGFUL CONVICTION ACT,Miriam Defensor Santiago,"January 2, 2016",CRIMINAL JUSTICE REFORM COMMISSION
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3089-16th-congress-republic,AN ACT PROHIBITING GOVERNMENT OFFICES AND AGENCIES FROM DENYING CITIZENS ACCESS TO FRONTLINE SERVICES AND ATTENDANCE IN PRIVATE OR PUBLIC MEETING ON THE BASIS OF ATTIRE.,OPEN DOOR POLICY ACT OF 2015,"Paolo Benigno ""Bam"" Aquino IV","January 20, 2016",GOVERNMENT AGENCIES (FRONTLINE SERVICES)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3205-16th-congress-republic,"AN ACT MANDATING THE INTEGRATION OF FILIPINO-MUSLIM AND INDIGENOUS PEOPLES HISTORY, CULTURE AND IDENTITY IN THE STUDY OF PHILIPPINE HISTORY IN BOTH BASIC AND HIGHER EDUCATION",INTEGRATED HISTORY ACT OF 2016,"ANGARA, SONNY","January 2, 2016",BASIC EDUCATION PROGRAM; COMMISSION ON HIGHER EDUCATION (CHED)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3050-16th-congress-republic,AN ACT DEFINING AND PENALIZING THE CRIMINAL INVASION OF PERSONAL PRIVACY,PERSONAL PRIVACY ACT,Miriam Defensor Santiago,"November 1, 2016",PRIVACY
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3058-16th-congress-republic,AN ACT REGULATING THE HANDLING AND DISPOSAL OF POLYCHLORINATED BIPHENYLS,POLYCHLORINATED BIPHENYLS REGULATION ACT,Miriam Defensor Santiago,"November 1, 2016",POLYCHLORINATED BIPHENYLS (PCB)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3123-16th-congress-republic,AN ACT DIRECTING THE ELECTRONIC RECORDING OF CUSTODIAL INTERROGATIONS TO PREVENT THE USE OF FALSE CONFESSIONS,PREVENTING FALSE CONFESSIONS ACT,Miriam Defensor Santiago,"January 25, 2016",ELECTRONIC CUSTODIAL INVESTIGATION/INTERROGATION; FALSE CONFESSIONS
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3134-16th-congress-republic,"AN ACT REQUIRING THE CONCURRENCE OF THE LOCAL SCHOOL BOARD ON THE ASSIGNMENT OF DIVISION SUPERINTENDENTS, DISTRICT SUPERVISORS, SCHOOL PRINCIPALS, AND OTHER SCHOOL OFFICIALS AMENDING FOR THE PURPOSE SECTION 99, PARAGRAPH (D) OF REPUBLIC ACT NO. 7160, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991","LOCAL GOVERNMENT CODE (R.A.NO. 7160), AMENDING SEC. 99, PAR. (D)",Miriam Defensor Santiago,"January 26, 2016",SCHOOLS DISTRICT SUPERVISOR; Local School Boards; LOCAL GOVERNMENT CODE (R.A. NO. 7160)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3202-16th-congress-republic,AN ACT ESTABLISHING A POST TRAUMATIC STRESS DISORDER AWARENESS AND EDUCATION PROGRAM,POST TRAUMATIC STRESS DISORDER AWARENESS AND EDUCATION ACT,Miriam Defensor Santiago,"January 2, 2016",TRAUMATIC STRESS DISORDER
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3103-16th-congress-republic,AN ACT ESTABLISHING A STATUTE OF REPOSE FOR DURABLE GOODS USED IN A TRADE OR BUSINESS,WORKPLACE GOODS JOB GROWTH AND COMPETITIVENESS ACT,Miriam Defensor Santiago,"January 25, 2016",STATUTE OF REPOSE FOR DURABLE GOODS
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3160-16th-congress-republic,"AN ACT STRENGTHENING THE REGULATORY FUNCTIONS OF THE PHILIPPINE OVERSEAS EMPLOYMENT ADMINSTRATION (POEA), AMENDING FOR THIS PURPOSE REPUBLIC ACT NO. 8042, OTHERWISE KNOWN AS THE MIGRANT WORKERS AND OVERSEAS FILIPINOS ACT OF 1995","AMENDING R.A. NO. 8042, MIGRANT WORKERS AND OVERSEAS FILIPINOS ACT OF 1995",Miriam Defensor Santiago,"January 28, 2016",Philippine Overseas Employment Administration (POEA); DEPARTMENT OF LABOR AND EMPLOYMENT (DOLE); Migrant workers
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3170-16th-congress-republic,"AN ACT AMENDING REPUBLIC ACT NO. 8794, OTHERWISE KNOWN AS AN ACT IMPOSING A MOTOR VEHICLE USER'S CHARGE ON OWNERS OF ALL TYPES OF MOTOR VEHICLES","AMENDING R.A. NO. 8794, MOTOR VEHICLE USER'S CHARGE",Miriam Defensor Santiago,"January 28, 2016",MOTOR VEHICLES USERS CHARGE (MVUC) (R.A. NO. 8794)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3069-16th-congress-republic,AN ACT ESTABLISHING PROVINCIAL SPORTS COMPLEX,PROVINCIAL SPORTS COMPLEX,Miriam Defensor Santiago,"December 1, 2016",SPORTS COMPLEX/SPORTS CENTER/MULTI-PURPOSE SPORTS CENTER/SPORTS ACADEMY
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3080-16th-congress-republic,AN ACT REQUIRING SCHOOL HEALTH SERVICE PRACTITIONERS IN SCHOOLS WITHIN A CITY WITH A POPULATION OF ONE MILLION OR MORE,SCHOOL HEALTH SERVICE PRACTITIONERS,Miriam Defensor Santiago,"January 13, 2016",health care; SCHOOL HEALTH
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3145-16th-congress-republic,AN ACT REQUIRING STOCK MARKET INSTRUCTION IN HIGH SCHOOL EDUCATION,STOCK MARKET INSTRUCTION IN HIGH SCHOOL EDUCATION,Miriam Defensor Santiago,"January 26, 2016",STOCK MARKET; Secondary Education; CURRICULUM
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3218-16th-congress-republic,AN ACT PROVIDING FOR A COASTAL TOURISM PLANNING AND DEVELOPMENT PROGRAM,COASTAL TOURISM PLANNING AND DEVELOPMENT ACT,Miriam Defensor Santiago,"February 2, 2016",TOURISM (COASTAL)
